route,time_period,forecasted_demand,forecast_confidence,max_capacity,committed_capacity,load_factor,void_capacity,utilization_strategy,planning_comment,pricing_recommendation
DEL-FRA,01-01-2026,175.2177533,0.995898752,2394,122.6524273,0.051233261,2271.347573,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,18-01-2026,2619.687709,0.654902445,2394,1833.781396,0.765990558,560.2186039,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,19-01-2026,2250.810901,0.940058054,2394,1575.567631,0.658131842,818.4323694,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,20-01-2026,126.7614496,0.916538036,2394,88.73301472,0.037064751,2305.266985,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,21-01-2026,185.191123,0.99429106,2394,129.6337861,0.054149451,2264.366214,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,22-01-2026,292.7140345,0.718109672,2394,204.8998242,0.085588899,2189.100176,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,23-01-2026,217.987589,0.865838375,2394,152.5913123,0.063739061,2241.408688,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,24-01-2026,476.4696469,0.469332071,2394,333.5287528,0.13931861,2060.471247,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,25-01-2026,380.4569218,0.585862241,2394,266.3198452,0.111244714,2127.680155,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,26-01-2026,382.8625077,0.653475733,2394,268.0037554,0.111948102,2125.996245,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,27-01-2026,358.5726662,0.562934509,2394,251.0008663,0.104845809,2142.999134,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,28-01-2026,478.7534918,0.58128225,2394,335.1274443,0.139986401,2058.872556,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,29-01-2026,195.3677658,0.88495256,2394,136.757436,0.057125078,2257.242564,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,30-01-2026,256.391734,0.741057313,2394,179.4742138,0.074968343,2214.525786,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,31-01-2026,222.6839592,0.796759068,2394,155.8787714,0.065112269,2238.121229,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,01-02-2026,2076.648059,0.636104116,2394,1453.653641,0.607207035,940.346359,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,02-02-2026,374.9768246,0.638885709,2394,262.4837772,0.109642346,2131.516223,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,03-02-2026,896.7102045,0.774862721,2394,627.6971431,0.262195966,1766.302857,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,04-02-2026,412.9369604,0.673589564,2394,289.0558723,0.120741801,2104.944128,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,05-02-2026,509.2026874,0.494946794,2394,356.4418812,0.148889675,2037.558119,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,06-02-2026,319.7579662,0.701954527,2394,223.8305763,0.093496481,2170.169424,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,07-02-2026,560.1688922,0.426647715,2394,392.1182245,0.163792074,2001.881775,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,08-02-2026,367.4357451,0.566744742,2394,257.2050216,0.107437352,2136.794978,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,09-02-2026,1894.56662,0.966702304,2394,1326.196634,0.553966848,1067.803366,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,10-02-2026,192.5365076,0.963333382,2394,134.7755553,0.056297224,2259.224445,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,11-02-2026,429.2015746,0.615490593,2394,300.4411023,0.125497536,2093.558898,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,12-02-2026,214.5741634,0.866401434,2394,150.2019144,0.062740983,2243.798086,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,13-02-2026,112.5658973,0.813006043,2394,78.79612812,0.032914005,2315.203872,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,14-02-2026,266.5606252,0.665636063,2394,186.5924376,0.077941703,2207.407562,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,15-02-2026,119.6708726,0.872399933,2394,83.76961084,0.034991483,2310.230389,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,16-02-2026,427.3088628,0.590306649,2394,299.1162039,0.124944112,2094.883796,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,17-02-2026,344.8348525,0.719320434,2394,241.3843968,0.100828904,2152.615603,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,18-02-2026,438.274226,0.638363844,2394,306.7919582,0.128150358,2087.208042,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,19-02-2026,287.9404974,0.624252183,2394,201.5583482,0.084193128,2192.441652,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,20-02-2026,392.3790258,0.646233719,2394,274.6653181,0.114730709,2119.334682,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,21-02-2026,397.9914203,0.60859673,2394,278.5939942,0.11637176,2115.406006,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,22-02-2026,160.4351925,0.959030033,2394,112.3046348,0.046910875,2281.695365,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,23-02-2026,300.5746235,0.757615328,2394,210.4022365,0.087887317,2183.597764,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,24-02-2026,366.9533704,0.707929831,2394,256.8673593,0.107296307,2137.132641,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,25-02-2026,1032.237548,0.942242271,2394,722.5662839,0.301823845,1671.433716,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,26-02-2026,488.9587551,0.500909616,2394,342.2711286,0.142970396,2051.728871,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,27-02-2026,460.3412462,0.543089954,2394,322.2388723,0.134602704,2071.761128,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,28-02-2026,140.956795,0.899753173,2394,98.66975649,0.041215437,2295.330244,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,01-03-2026,231.1503924,0.88334226,2394,161.8052747,0.067587834,2232.194725,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,01-01-2026,2185.820893,0.846911745,2394,1530.074625,0.639128916,863.9253748,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,02-01-2026,1829.806373,0.918160828,2394,1280.864461,0.535031103,1113.135539,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,03-01-2026,299.5224651,0.656367671,2394,209.6657256,0.087579668,2184.334274,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,04-01-2026,1867.221858,0.788525906,2394,1307.055301,0.545971304,1086.944699,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,05-01-2026,399.4991524,0.704991194,2394,279.6494067,0.116812618,2114.350593,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,06-01-2026,220.4604256,0.962929595,2394,154.3222979,0.064462113,2239.677702,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,07-01-2026,53.26480711,0.426562269,2394,37.28536498,0.015574505,2356.714635,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,08-01-2026,344.1671121,0.768261156,2394,240.9169784,0.100633658,2153.083022,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,09-01-2026,271.5458135,0.820512805,2394,190.0820695,0.079399361,2203.917931,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,10-01-2026,1958.852111,0.803044067,2394,1371.196478,0.572763775,1022.803522,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,11-01-2026,327.3197165,0.71175618,2394,229.1238016,0.095707519,2164.876198,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,12-01-2026,66.89161101,0.489598188,2394,46.82412771,0.019558951,2347.175872,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,13-01-2026,253.024818,0.825447585,2394,177.1173726,0.073983865,2216.882627,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,14-01-2026,401.8440894,0.70205881,2394,281.2908626,0.117498272,2112.709137,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,15-01-2026,312.8745327,0.551182378,2394,219.0121729,0.091483781,2174.987827,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,16-01-2026,969.2017441,0.893687452,2394,678.4412209,0.283392323,1715.558779,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,17-01-2026,191.8980935,0.986738121,2394,134.3286654,0.056110554,2259.671335,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,18-01-2026,111.6374287,0.749065637,2394,78.1462001,0.032642523,2315.8538,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,19-01-2026,202.0425448,0.96175454,2394,141.4297814,0.059076767,2252.570219,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,20-01-2026,196.6697678,0.833327363,2394,137.6688375,0.05750578,2256.331163,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,21-01-2026,221.7542399,0.887092094,2394,155.2279679,0.064840421,2238.772032,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,22-01-2026,422.8832373,0.638635425,2394,296.0182661,0.123650069,2097.981734,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,23-01-2026,378.5283614,0.737534964,2394,264.969853,0.110680807,2129.030147,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,24-01-2026,338.3158443,0.673949725,2394,236.821091,0.098922761,2157.178909,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,25-01-2026,135.360618,0.877406485,2394,94.7524326,0.039579128,2299.247567,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,26-01-2026,276.643188,0.760424406,2394,193.6502316,0.080889821,2200.349768,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,27-01-2026,2220.156202,0.743206967,2394,1554.109341,0.64916848,839.8906588,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,28-01-2026,312.8282638,0.768523907,2394,218.9797846,0.091470253,2175.020215,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,29-01-2026,169.1983258,0.982380066,2394,118.4388281,0.049473195,2275.561172,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,30-01-2026,285.5008097,0.804489472,2394,199.8505668,0.083479769,2194.149433,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,31-01-2026,61.34720215,0.469463308,2394,42.94304151,0.017937778,2351.056958,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,01-02-2026,170.4166486,0.910936777,2394,119.291654,0.049829429,2274.708346,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,02-02-2026,137.289791,0.896615065,2394,96.1028537,0.040143214,2297.897146,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,03-02-2026,105.4245503,0.720669732,2394,73.7971852,0.030825892,2320.202815,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,04-02-2026,82.24625044,0.603920663,2394,57.57237531,0.024048611,2336.427625,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,05-02-2026,59.0245719,0.494960892,2394,41.31720033,0.017258647,2352.6828,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,06-02-2026,752.4352091,0.731581554,2394,526.7046464,0.220010295,1867.295354,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,07-02-2026,332.9899857,0.719601716,2394,233.09299,0.097365493,2160.90701,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,08-02-2026,146.4280506,0.894202874,2394,102.4996354,0.042815219,2291.500365,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,09-02-2026,205.818192,0.930999985,2394,144.0727344,0.060180758,2249.927266,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,10-02-2026,159.4839221,0.990447946,2394,111.6387455,0.046632726,2282.361255,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,11-02-2026,285.3670191,0.742040369,2394,199.7569134,0.083440649,2194.243087,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,12-02-2026,251.2929361,0.818903572,2394,175.9050552,0.073477467,2218.094945,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,13-02-2026,131.5161025,0.853816301,2394,92.06127175,0.038455001,2301.938728,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,14-02-2026,94.59103813,0.662706293,2394,66.21372669,0.027658198,2327.786273,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,15-02-2026,230.6173683,0.883690171,2394,161.4321578,0.067431979,2232.567842,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,16-02-2026,1956.501533,0.612248429,2394,1369.551073,0.572076472,1024.448927,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,17-02-2026,271.8433334,0.818370965,2394,190.2903333,0.079486355,2203.709667,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,18-02-2026,221.633997,0.910495176,2394,155.1437979,0.064805262,2238.856202,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,19-02-2026,98.46657422,0.678709928,2394,68.92660196,0.028791396,2325.073398,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,20-02-2026,34.47380899,0.32022647,2394,24.13166629,0.010080061,2369.868334,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,21-02-2026,332.0652656,0.705295428,2394,232.445686,0.097095107,2161.554314,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,22-02-2026,1603.458706,0.815509744,2394,1122.421094,0.468847575,1271.578906,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,23-02-2026,40.05894187,0.293538433,2394,28.04125931,0.011713141,2365.958741,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,24-02-2026,128.2651529,0.833421689,2394,89.78560705,0.037504431,2304.214393,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,25-02-2026,403.5187201,0.663832396,2394,282.4631041,0.11798793,2111.536896,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,26-02-2026,145.8448834,0.87588496,2394,102.0914184,0.042644703,2291.908582,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,27-02-2026,247.1691898,0.782512161,2394,173.0184329,0.072271693,2220.981567,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,28-02-2026,186.7320525,0.972697448,2394,130.7124367,0.054600015,2263.287563,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,01-03-2026,407.3458113,0.663063222,2394,285.1420679,0.119106962,2108.857932,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,01-01-2026,293.2778284,0.80489366,2394,205.2944799,0.085753751,2188.70552,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,02-01-2026,246.1047435,0.793391413,2394,172.2733204,0.071960451,2221.72668,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,03-01-2026,11.03895019,0.092757265,2394,7.72726513,0.003227763,2386.272735,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,04-01-2026,364.9493092,0.561101941,2394,255.4645165,0.106710324,2138.535484,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,05-01-2026,233.7832344,0.904601067,2394,163.6482641,0.068357671,2230.351736,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,06-01-2026,1038.475141,0.865275766,2394,726.9325989,0.303647702,1667.067401,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,07-01-2026,32.7662527,0.287278552,2394,22.93637689,0.009580776,2371.063623,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,08-01-2026,90.9569311,0.657409735,2394,63.66985177,0.026595594,2330.330148,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,09-01-2026,211.5500655,0.924152303,2394,148.0850458,0.061856744,2245.914954,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
